Nº Distrito;DISTRITO;m2 de ZONAS VERDES Y PARQUES en Distrito 2022;ha de ZONAS VERDES Y PARQUES en Distrito 2022
1;CENTRO;317.630,33;31,76
2;ARGANZUELA;908.166,48;90,82
3;RETIRO;365.373,31;36,54
4;SALAMANCA;358.710,22;35,87
5;CHAMARTÍN;559.816,26;55,98
6;TETUÁN;625.134,68;62,51
7;CHAMBERÍ;111.212,49;11,12
8;FUENCARRAL - EL PARDO;3.603.529,08;360,35
9;MONCLOA-ARAVACA;1.883.893,33;188,39
10;LATINA;2.747.929,41;274,79
11;CARABANCHEL;2.294.632,72;229,46
12;USERA;1.674.525,24;167,45
13;PUENTE DE VALLECAS;2.795.829,73;279,58
14;MORATALAZ;1.177.920,08;117,79
15;CIUDAD LINEAL;1.329.100,19;132,91
16;HORTALEZA;3.253.765,32;325,38
17;VILLAVERDE;2.162.261,62;216,23
18;VILLA DE VALLECAS;3.080.897,19;308,09
19;VICÁLVARO;1.956.379,61;195,64
20;SAN BLAS - CANILLEJAS;1.783.508,27;178,35
21;BARAJAS;933.474,72;93,35
;;;
;Total:;33.923.690,28;3.392,37
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
MONCLOA-ARAVACA;;;
la zona verde de RECINTOS FERIALES que ya no lo conservamos nosotros. La superficie de  esta zona verde es de 3,5 has. Además de Recintos feriales se ha eliminado 15 colegios con una superficie de 2,5 has en Moncloa. ;;;
LATINA;;;
en el 2021 se ha dado de baja a 16 colegios y centros culturales y hasta una zona verde conformaba un  campo de Futbol (CAMPO DE FUTBOL Bº DE GOYA  119064). Esta zona verde ocupaba una  10033 metros cuadrados. Las superficies verdes eliminadas(colegios, centros culturales…) pasan a ser conservado por las Juntas Municipales.;;;
;;;
CENTRO:;;;
En el caso de Lote 1 hay esa variación por los colegios que nos quedaban y que han pasado a la Junta Municipal de distrito y hay algunas zonas del distrito de Centro que han pasado de la tipología de Zona Verde a Unidad de Gestión, sobre todo las plazas pavimentadas con alcorques individuales nos las han pasado a arbolado viario.;;;
;;;
CHAMBERÍ:;;;
En el distrito de Chamberí hay mas superficie porque han hecho una ampliación en Raimundo Fernandez Villaverde, en concreto, en los Jardines de Andrés Saborit.;;;
;;;
VILLA VALLECAS;;;
se han incorporado 4 zonas nuevas (PARQUE FORESTAL DE LA ATALAYUELA, ZV LA ATALAYUELA 2, ZV LA ATALAYUELA 3 Y ZV LA ATALAYUELA 4).;;;
Vicálvaro ;;;
se ha ampliado el PARQUE FORESTAL DE SANTA EUGENIA;;;
