# Distrito;Junta de Distrito;Tipo;Instalación deportiva;Dirección;Tenis de mesa
1;Centro;IDB;Parque Atenas;Pº Virgen del Puerto, 3B c/v Pº de Plasencia;1
1;Centro;IDB;Parque la Cornisa;C/ Rosario (detrás de San Francisco El Grande);1
1;Centro;IDB;Plaza Arturo Barea;Plaza Arturo Barea;1
2;Arganzuela;IDB;Juan de Mariana;C/ Juan de Mariana, 8C (PO);2
3;Retiro;IDB;Cerro Negro;C/ Cerro Negro, 5;1
3;Retiro;IDB;Parque Adelfas;C/ Martínez Corrochano, 26;1
4;Salamanca;CDM;Gimnasio Moscardó;C/ Pilar de Zaragoza, 93;2
4;Salamanca;IDB;Boston;C/ Boston, 1 (cubierta de P.A.R.);1
4;Salamanca;IDB;Eva Duarte;C/ Doctor Gómez Ulla, 9;2
4;Salamanca;IDB;Parque Breogán;Avda. de Brasilia, 2 y 4;2
5;Chamartín;IDB;Parque de Berlín;C/ Marcenado, 51;2
6;Tetuán;IDB;"Cuña Verde ""Villaamil""";C/ Villaamil, 126 c/v C/ Camino del Chorrillo;3
6;Tetuán;IDB;"Rodríguez Sahagún II ""Los Pinos""";C/ Sinesio Delgado, 30 - Pº de la Dirección, 295;3
8;Fuencarral - El Pardo;CDM;Santa Ana;Pº Alamedillas, 5;4
8;Fuencarral - El Pardo;CDM;Vicente del Bosque (Antiguo Barrio del Pilar);C/ Monforte de Lemos, 13;2
8;Fuencarral - El Pardo;IDB;La Cabrera;C/ La Cabrera, 33;2
8;Fuencarral - El Pardo;IDB;Mirador de la Reina (Cerrominguete);C/ Mirador de la Reina, 2;2
8;Fuencarral - El Pardo;IDB;Vereda de Ganapanes;C/ Becerra, 4;2
9;Moncloa - Aravaca;CDM;El Quijote (antiguo Francos Rodríguez);C/ Numancia, 11;3
9;Moncloa - Aravaca;CDM;La Bombilla;C/ Senda del Rey, 8;1
9;Moncloa - Aravaca;CDM;Tenis Casa de Campo;Cº Príncipe, 2 (Casa de Campo);7
9;Moncloa - Aravaca;IDB;Parque Arroyo Pozuelo I;C/ Arroyo Pozuelo, 10;1
9;Moncloa - Aravaca;IDB;Sinesio Delgado;C/ Isla de Oza, 61;4
9;Moncloa - Aravaca;IDB;Valderromán;C/ Valderromán, 22 (cubierta de P.A.R.);1
10;Latina;CDM;Aluche;Avda. de las Águilas, 14;10
10;Latina;IDB;Castroserna;C/ Castroserna, 2;1
10;Latina;IDB;Concejal Gabriel Fdez. (P. Cuña Verde);C/ de la Duquesa de Parcent, 37;1
10;Latina;IDB;Jardines Las Aguilas (antigua General Fanjul);Avda. de las Águilas, 110 y 144 (cubierta de P.A.R.);1
10;Latina;IDB;Los Cármenes;C/ Alhambra, 35;1
